,Tweet_ID,Date,Tweet_Text,likes_count,retweet_counts,,Count
1021,1.5215E+18,2022-05-03 14:29:15+00:00,@BillyM2k @CoinDesk @SECGov @jackschickler Or twitter,9508,523,,1
1026,1.52133E+18,2022-05-03 03:36:28+00:00,@catturd2 I saw you trending as twitter ceo 🤣,129059,7717,,1
1042,1.52096E+18,2022-05-02 02:37:23+00:00,@pmarca Sell Shadow Crew merch to buy Twitter?,34868,1977,,1
1043,1.52095E+18,2022-05-02 02:11:56+00:00,"@pmarca My Shadrow Crew is sickkk!
Also, who are they again?",41097,2572,,1
1044,1.52094E+18,2022-05-02 01:40:00+00:00,@antoniogm 🤣,6449,227,,1
1048,1.52065E+18,2022-05-01 06:23:15+00:00,"Since I’ve been asked a lot:

Buy stock in several companies that make products &amp; services that *you* believe in.

Only sell if you think their products &amp; services are trending worse. Don’t panic when the market does.

This will serve you well in the long-term.",1123810,113456,,1
1075,1.52002E+18,2022-04-29 12:50:33+00:00,@WholeMarsBlog The people of Twitter strongly agree that Twitter needs to be fixed,162141,9721,,1
1079,1.52002E+18,2022-04-29 12:24:43+00:00,@TomFitton @Twitter This is messed up,137123,10608,,1
1084,1.51983E+18,2022-04-29 00:05:35+00:00,@MichaelDell @Twitter @Dell @emc 🤣,26256,686,,1
1085,1.51978E+18,2022-04-28 20:58:09+00:00,"“Real magic is only a sip away.”
(Actual slogan of Coca-Cola!!) 🤣🤣",435698,21778,,1
1086,1.51978E+18,2022-04-28 20:53:49+00:00,.@CocaCola Oh hi lol https://t.co/VhhVM9GzLJ,639651,44511,,1
1087,1.51978E+18,2022-04-28 20:42:02+00:00,@BillyM2k Same,66267,1579,,1
1088,1.51974E+18,2022-04-28 17:47:22+00:00,https://t.co/Q9OjlJhi7f,1593048,217888,,1
1089,1.51973E+18,2022-04-28 17:36:09+00:00,@walterkirn Freedom of speech means freedom of speech,279390,21999,,1
1090,1.51972E+18,2022-04-28 16:39:32+00:00,@scrowder Discomforting,69463,4685,,1
1091,1.51962E+18,2022-04-28 10:11:41+00:00,@DavidSacks @willcain Accurate interview,28087,1356,,1
1092,1.51961E+18,2022-04-28 09:30:25+00:00,@The_Kyle_Mann 🤣🤣,70518,2339,,1
1093,1.51958E+18,2022-04-28 07:23:14+00:00,@WatcherGuru FCC FTW!,66738,3634,,1
